net_profit_to_total_assets,total_liabilities_to_total_assets,working_capital_to_total_assets,current_assets_to_shortterm_liabilities,cash_flow_to_operating_expenses,retained_earnings_to_total_assets,ebit_to_total_assets,equity_to_total_liabilities,sales_to_total_assets,equity_to_total_assets,gross_profit_plus_other_to_total_assets,gross_profit_to_shortterm_liabilities,gross_profit_plus_dep_to_sales,gross_profit_plus_interest_to_total_assets,liabilities_to_gross_profit_dep,gross_profit_dep_to_total_liabilities,total_assets_to_total_liabilities,gross_profit_to_total_assets,gross_profit_to_sales,inventory_to_sales_days,sales_growth,operating_profit_to_total_assets,net_profit_to_sales,gross_profit_3yr_to_total_assets,equity_minus_capital_to_total_assets,net_profit_dep_to_total_liabilities,operating_profit_to_financial_expenses,working_capital_to_fixed_assets,log_total_assets,liabilities_minus_cash_to_sales,gross_profit_plus_interest_to_sales,current_liabilities_to_cogs_days,operating_expenses_to_shortterm_liabilities,operating_expenses_to_total_liabilities,profit_on_sales_to_total_assets,total_sales_to_total_assets,current_assets_minus_inventory_to_longterm_liabilities,constant_capital_to_total_assets,profit_on_sales_to_sales,current_assets_minus_inventory_receivables_to_shortterm_liabilities,liabilities_to_operating_profit_dep,operating_profit_to_sales,receivables_inventory_turnover_days,receivables_to_sales_days,net_profit_to_inventory,current_assets_minus_inventory_to_shortterm_liabilities,inventory_to_cogs_days,ebitda_to_total_assets,ebitda_to_sales,current_assets_to_total_liabilities,shortterm_liabilities_to_total_assets,shortterm_liabilities_to_cogs_days,equity_to_fixed_assets,constant_capital_to_fixed_assets,working_capital,sales_minus_cogs_to_sales,current_minus_inventory_minus_stli_to_salesminusprofitminusdep,total_costs_to_total_sales,longterm_liabilities_to_equity,sales_to_inventory,sales_to_receivables,shortterm_liabilities_to_sales_days,sales_to_shortterm_liabilities,sales_to_fixed_assets,bankrupt
0.20235,0.465,0.24038,1.5171,-14.547,0.51069,0.25366,0.91816,1.1519,0.42695,0.25366,0.54561,0.17865,0.25366,603.2,0.60511,2.1505,0.25366,0.16105,42.697,1.0806,0.22349,0.12848,0.63105,0.42695,0.49478,1.6345,0.81559,6.0038,0.22803,0.16105,124.1,2.9412,0.48063,0.22349,1.6258,5095.3,0.42705,0.1419,0.46489,0.060856,0.1419,113.36,70.661,1.0983,1.1207,49.181,0.19577,0.1243,1.5167,0.4649,0.34,1.4486,1.449,242500.0,0.13184,0.47395,0.86816,0.00023951,8.5487,5.1655,107.74,3.3879,5.344,0
0.28784,0.55225,0.31634,1.7033,38.803,0.39012,0.28784,0.80761,1.292,0.446,0.28784,0.63991,0.19918,0.28784,683.17,0.53427,1.8108,0.28784,0.19431,46.705,1.6732,0.3293,0.19431,0.39012,0.446,0.53427,2.872,1.3527,4.4051,0.30337,0.19431,143.19,2.549,0.59628,0.3293,1.4915,5.6286,0.54844,0.22229,0.2375,0.053954,0.22229,162.45,115.75,1.5185,1.2819,60.341,0.32208,0.21742,1.3873,0.44981,0.3923,1.9072,2.3453,8040.8,0.22599,0.64537,0.77401,0.22969,7.8151,3.1534,110.83,3.2933,6.3346,0
0.0099006,0.71174,0.065186,1.1485,-62.297,0.0,0.013459,0.405,1.1738,0.28826,0.062137,0.030651,0.047467,0.013459,4662.4,0.078286,1.405,0.013459,0.011466,47.033,0.91556,0.038936,0.0084344,0.0,0.26931,0.073286,0.79986,0.1315,5.9649,0.60633,0.011466,171.34,2.237,1.3801,0.2384,1.1738,1.6999,0.49594,0.20309,0.15598,0.29219,0.033169,135.51,88.478,0.065455,0.80398,56.205,-0.0033244,-0.0028321,0.70854,0.43911,0.44703,0.58151,1.0005,1.1485,0.20309,0.034347,0.83056,0.72047,7.7605,4.1253,136.54,2.6732,2.368,0
0.17949,0.42473,0.55235,2.4516,42.408,0.55343,0.22393,1.3544,1.1023,0.57527,0.22393,0.58852,0.094009,0.22393,638.02,0.57208,2.3544,0.22393,0.08664,38.918,0.95211,0.23383,0.069445,0.68987,0.57527,0.46744,0.99725,8.226,3.9682,0.11491,0.08664,59.231,6.1623,0.55054,0.23383,2.5747,14.861,0.6195,0.09047,0.34304,0.055219,0.09047,113.3,74.386,0.65131,1.7274,42.899,0.21479,0.083101,2.1964,0.3805,0.16228,8.5673,9.226,5133.0,0.092802,0.31201,0.9072,0.07688,9.3788,4.9068,53.734,6.7927,38.492,0
0.1246,0.20223,0.16985,3.1563,92.043,0.42676,0.14791,3.9448,1.2747,0.79777,0.14791,1.8778,0.28305,0.14791,470.07,0.77649,4.9448,0.14791,0.26661,37.36,1.0567,0.12068,0.22459,0.49457,0.79777,0.66123,2.7727,0.22604,4.9506,0.34443,0.26661,66.058,5.5255,0.59674,0.12068,0.58315,1.5537,0.92123,0.21753,0.19377,0.051223,0.21753,153.53,116.17,2.1942,2.4353,47.622,0.11156,0.20109,1.2294,0.078769,0.18098,1.0617,1.226,15157.0,0.21548,0.15619,0.78452,0.15476,9.7697,3.142,51.824,7.0431,0.73834,0
-0.041742,0.25776,0.25714,3.0285,32.628,-0.054287,-0.036406,2.8796,0.96582,0.74224,-0.036406,-0.2872,-0.047619,-0.036406,-2741.7,-0.13313,3.8796,-0.036406,-0.050522,96.765,0.84805,0.0044866,-0.057927,-0.049569,0.74224,-0.15383,0.060134,0.41737,4.8511,0.22715,-0.050522,62.013,5.8859,0.017406,0.0044866,0.75059,1.4723,0.87324,0.0062262,0.73166,1.2881,0.0062262,147.48,50.713,-0.2185,1.5215,93.457,0.0023946,0.003323,1.4894,0.12676,0.1699,1.2048,1.4174,18249.0,-0.035392,-0.056238,1.0354,0.17648,3.772,7.1974,64.208,5.6847,1.1696,0
-0.50525,1.6385,-0.78781,0.50685,-138.71,-0.62442,-0.50385,-0.42649,0.93176,-0.69879,-0.50385,-0.31539,-0.21127,-0.50385,-1199.5,-0.3043,0.61032,-0.50385,-0.2135,28.56,0.6207,-0.416,-0.21409,-0.62302,-0.69879,-0.30516,-1.6424,-4.14,5.2205,0.57587,-0.2135,230.22,1.5855,-0.25389,-0.416,2.3964,15.257,-0.65783,-0.17627,0.17582,-0.13115,-0.17627,81.791,53.231,-2.7361,0.39126,26.611,-0.42125,-0.1785,0.49418,1.5975,0.63073,-3.6722,-3.4569,-130890.0,-0.073233,0.72303,1.0732,-0.058625,12.78,6.8569,247.08,1.4773,12.402,0
0.11359,0.20048,0.48687,3.6399,69.985,0.17179,0.14107,3.9044,1.0553,0.78276,0.14107,0.7649,0.10381,0.14107,395.12,0.92377,4.988,0.14107,0.079072,33.964,0.94421,0.09721,0.063669,0.21453,0.78276,0.78671,0.575,1.4812,4.4729,-0.079501,0.079072,39.818,9.1668,0.48489,0.09721,1.8433,31.476,0.79881,0.054488,1.8603,0.046633,0.054488,67.147,33.183,0.68423,2.7398,35.841,0.05308,0.029753,3.3485,0.18443,0.10909,2.3814,2.4302,14464.0,0.052379,0.14511,0.94762,0.020508,10.747,11.0,37.732,9.6735,5.4276,0
-0.10945,0.75869,-0.013318,0.97168,-50.075,-0.23661,-0.10945,0.29483,0.87435,0.22368,-0.10945,-0.23275,-0.098401,-0.10945,-2837.0,-0.12866,1.3181,-0.10945,-0.11033,52.442,2.8548,-0.15023,-0.11033,-0.23661,0.22368,-0.12866,-1.3241,-0.024523,4.8934,0.7275,-0.11033,151.28,2.4128,-0.19801,-0.15023,1.0523,1.0899,0.51214,-0.15144,0.079424,-0.18024,-0.15144,154.38,101.94,-0.76791,0.66858,45.853,-0.16206,-0.16337,0.60223,0.47023,0.41446,0.41187,0.94301,-1042.0,-0.14371,-0.4893,1.1437,1.2896,6.96,3.5807,173.02,2.1096,1.8265,0
0.15811,0.21797,0.41381,3.2931,53.721,0.27757,0.19893,2.8059,1.1422,0.6116,0.19893,1.1024,0.16321,0.19893,316.79,1.1522,4.5878,0.19893,0.12928,51.732,1.121,0.18059,0.10275,0.32874,0.6116,0.96494,1.3404,1.0199,4.5128,0.066886,0.12928,48.89,7.4658,0.82849,0.18059,1.6073,10.027,0.64912,0.11736,0.65119,0.030782,0.11736,113.09,61.355,0.72499,2.0845,59.086,0.12837,0.083425,2.7263,0.18046,0.13394,1.5074,1.5998,13479.0,0.12446,0.25853,0.87554,0.061339,7.0555,5.949,42.805,8.5271,3.7925,0
-0.12309,1.0533,-0.066225,0.90148,-75.886,-0.16433,-0.12309,-0.067076,0.97345,-0.070649,-0.12309,-0.18312,-0.098778,-0.12309,-4454.0,-0.08195,0.94942,-0.12309,-0.14086,45.478,1.5318,-0.031876,-0.14086,-0.16433,-0.070649,-0.08195,-0.35509,-0.16807,4.9205,1.1516,-0.14086,273.32,1.3354,-0.030263,-0.031876,0.87671,1.3044,0.31044,-0.036478,0.079382,7.0693,-0.036478,230.82,185.35,-1.1305,0.73951,44.27,-0.06865,-0.078562,0.57531,0.67219,0.74882,-0.1793,0.78784,-5515.1,-0.027277,1.7423,1.0273,-5.394,8.0259,1.9693,280.77,1.3,2.2176,0
